"brain_model","epi_model","b","ci.lb","ci.ub"
"Kaufmann","ZhangEN",0.0196044128627039,-0.0177092675415521,0.0569180932669599
"PyBrainAge","ZhangEN",0.00789425714557745,-0.0166052966243958,0.0323938109155507
"Pyment","ZhangEN",-0.00854286586182578,-0.0342484739799105,0.017162742256259
"Centile2","Pooled",0.00365317293586117,-0.00868954695374236,0.0159958928254647
"DBN","Pooled",0.0118512288172427,-0.005345751172721,0.0290482088072063
"DevBrainAge","Pooled",0.0263504482114056,0.0129904596693003,0.0397104367535109
"DunedinPACNI","Pooled",0.0116598093204917,0.000877836224006176,0.0224417824169773
"ENIGMA","Pooled",0.022379681646085,0.0113125200185167,0.0334468432736533
"Kaufmann","Pooled",0.0309636943237652,0.0177344252994402,0.0441929633480901
"PyBrainAge","Pooled",0.0148603185544397,0.00388357757363394,0.0258370595352454
"Pyment","Pooled",0.014143300722379,0.00288111707256907,0.0254054843721889
"Pooled","AdaptAge",0.00955710130329803,-0.0040828567459692,0.0231970593525653
"Pooled","AltumAge",0.022060522467371,0.0083600691512063,0.0357609757835357
"Pooled","cAge",0.0136304993987652,2.86078612106045e-05,0.0272323909363197
"Pooled","CorticalClock",0.0213843577791074,0.00762440932229232,0.0351443062359224
"Pooled","DamAge",0.0126309895194849,-0.00104638794104679,0.0263083669800166
"Pooled","DNAmTL",0.0109960822734344,-0.00857207746559886,0.0305642420124677
"Pooled","DunedinPACE",0.0337736304399606,0.0196534802792408,0.0478937806006804
"Pooled","Hannum",0.00320742732246731,-0.0108010912566362,0.0172159459015708
"Pooled","Horvath2013",0.0213708580824009,0.00808277221826777,0.034658943946534
"Pooled","PCBrainAge",0.0215501880152218,0.00762956849856678,0.0354708075318769
"Pooled","PCGrimAge",0.0290074098787567,0.0149769888332313,0.0430378309242821
"Pooled","PedBE",0.0101408359110066,-0.00429288594261737,0.0245745577646306
"Pooled","PhenoAge",0.0148885782517494,0.000953739561351202,0.0288234169421476
"Pooled","skinHorvath",0.0259398763879144,0.0122933994724979,0.0395863533033309
"Pooled","Wu",0.0194860263194953,0.00595034555250354,0.033021707086487
"Pooled","ZhangBLUP",0.0118569829065699,-0.00216286656907172,0.0258768323822114
"Pooled","ZhangEN",0.00228675008933467,-0.0116353304016732,0.0162088305803426
"Pooled","Pooled",0.0167448787294824,0.00714075381596201,0.0263490036430027
